Year,Region,State,Source,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
1961,Gordonvale,QLD,Hughes1964,,,,,,,,1,,,,
1961,Brandon,QLD,Hughes1964,1,,,,,,,,2,,,
1961,Mackay,QLD,Hughes1964,,,,,,,,,,,,
1961,Bundaberg,QLD,Hughes1964,,,,,,1,,,,,2,
1961,Rydalmere,NSW,Hughes1964,11,10,1,4,84,79,37,11,2,8,52,7
1961,Canberra,ACT,Hughes1964,3,,1,2,6,5,7,2,4,12,42,18
1962,Canberra,ACT,Hughes1965,8,5,16,61,13,8,1,1,0,2,46,59
1961,Burnley,VIC,Hughes1964,11,,11,76,176,112,36,23,27,95,176,21
1961,New Town,TAS,Hughes1964,5,19,40,181,348,63,6,4,5,2,95,42
1961,Grove,TAS,Hughes1964,3,27,170,729,957,18,2,2,1,1,17,19
1961,Merbein,VIC,Hughes1964,,,,,,2,4,4,10,48,5,
1961,Adelaide Waite Campus,SA,Hughes1964,,,,8,7,27,80,38,4,29,7,3
1961,Adelaide Hills,SA,Hughes1964,,,2,11,10,2,4,2,3,5,,
