Commodity,State,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
Apples,New South Wales,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium,Medium
Apples,Victoria,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium,Medium
Apples,Queensland,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium
Apples,Western Australia,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium
Apples,South Australia,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium
Apples,Tasmania,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Medium,Medium
Apples,Imported,None,Low,Low,Low,Low,Low,Low,Low,Low,None,None,None
Avocado,Queensland,Medium,Low,Low,None,None,None,None,None,High,High,High,High
Avocado,Western Australia,Low,Medium,High,High,High,High,Medium,Medium,Low,None,None,None
Avocado,New South Wales,Low,Medium,Medium,Low,None,None,None,None,None,None,None,None
Avocado,Victoria,Low,Medium,Medium,Low,None,None,None,None,None,None,None,None
Avocado,South Australia,Low,Medium,Medium,Low,None,None,None,None,None,None,None,None
Avocado,Imported,None,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,None,None,None
Bananas,Queensland,High,High,High,High,High,Medium,Medium,Medium,High,High,High,High
Bananas,Western Australia,High,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High
Bananas,Northern Territory,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium,High
Bananas,New South Wales,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,High
Blueberries,New South Wales,High,High,High,High,High,High,High,Medium,Low,None,None,Medium
Blueberries,Queensland,None,None,None,None,None,Low,Low,Low,Low,None,None,None
Blueberries,Tasmania,None,None,None,None,None,None,High,High,High,Medium,None,None
Blueberries,Victoria,None,None,None,None,None,Medium,High,High,High,Medium,None,None
Blueberries,South Australia,None,None,None,None,None,Medium,High,High,Medium,Medium,Low,None
Blueberries,Imported,None,None,None,None,None,Medium,High,High,High,Medium,None,None
Rubus,New South Wales,High,High,High,Medium,Low,Low,Low,Low,Medium,High,High,High
Rubus,Victoria,None,None,None,Low,High,High,High,High,Medium,Low,None,None
Rubus,Queensland,High,High,High,Medium,Low,None,None,None,Low,Medium,High,High
Rubus,Western Australia,None,None,None,Low,Medium,Medium,Medium,Medium,Low,None,None,None
Rubus,South Australia,None,None,None,Low,Medium,Medium,Medium,Medium,Low,None,None,None
Rubus,Tasmania,None,None,None,None,Low,High,High,High,High,Low,Low,None
Strawberries,Victoria,None,None,None,Medium,High,High,High,High,High,Medium,Low,Low
Strawberries,Queensland,High,High,Medium,Low,Low,None,None,None,None,None,Low,Medium
Strawberries,Western Australia,High,High,High,Medium,Medium,Low,None,None,None,None,None,Medium
Strawberries,South Australia,None,Low,Low,Medium,High,High,High,High,High,Medium,Low,Low
Strawberries,Tasmania,None,None,None,Low,Medium,High,High,Medium,Low,Low,None,None
Strawberries,New South Wales,None,None,None,Low,Medium,High,High,Medium,Low,Low,None,None
Strawberries,Victoria,None,None,None,None,Medium,High,High,Medium,None,None,None,None
Strawberries,New South Wales,None,None,None,Low,High,High,Medium,None,None,None,None,None
Strawberries,Tasmania,None,None,None,None,None,Low,High,Medium,None,None,None,None
Strawberries,South Australia,None,None,None,Low,High,High,Medium,None,None,None,None,None
Strawberries,Western Australia,None,None,None,None,Low,Medium,High,Low,None,None,None,None
Strawberries,Queensland,None,None,None,Low,Medium,High,High,Low,None,None,None,None
Strawberries,Imported,High,None,None,None,None,None,None,None,None,None,Medium,High
Grapefruit,New South Wales,High,High,Medium,Low,Low,Low,None,Low,Low,Low,Low,Medium
Grapefruit,Victoria,High,Medium,Medium,Low,Low,Low,None,Low,Low,Medium,Medium,High
Grapefruit,Queensland,Medium,High,High,Medium,Low,None,None,None,Low,Low,Medium,Medium
Grapefruit,Western Australia,Medium,Medium,Low,Low,Low,Low,None,Low,Low,Low,Medium,Medium
Grapefruit,South Australia,High,High,Medium,Medium,Low,Low,None,Low,Low,Medium,Medium,High
Grapefruit,Northern Territory,Low,Low,Low,Low,Low,Low,None,Low,Low,Low,Low,Low
Grapefruit,Imported,None,None,None,None,Low,Medium,Medium,Low,Low,None,None,None
Lemons/Limes,New South Wales,High,High,Medium,Low,None,None,Low,Low,Medium,Medium,High,High
Lemons/Limes,Victoria,Low,Medium,Medium,Low,None,None,None,None,None,None,None,Low
Lemons/Limes,Queensland,High,High,Medium,Low,None,None,Low,Low,Medium,Medium,Medium,High
Lemons/Limes,Western Australia,High,Medium,Low,Low,None,None,Low,Low,Low,Low,Medium,Medium
Lemons/Limes,South Australia,None,Low,Medium,Medium,Low,None,None,None,None,None,None,None
Lemons/Limes,Northern Territory,Medium,Medium,Medium,Low,None,None,None,None,Low,Low,Medium,Medium
Lemons/Limes,Imported,None,Low,Medium,Medium,High,High,High,Medium,Low,None,None,None
Mandarins,New South Wales,Medium,High,High,Low,None,None,None,None,Low,Low,Low,Medium
Mandarins,Victoria,High,High,Low,None,None,None,None,None,Low,Low,Low,Medium
Mandarins,Queensland,High,High,Medium,Low,None,None,None,None,Low,Low,Medium,High
Mandarins,Western Australia,High,Medium,Low,Low,None,None,None,None,Low,Low,Low,Medium
Mandarins,South Australia,High,High,Low,None,None,None,None,None,Low,Low,Low,Medium
Mandarins,Imported,None,None,None,None,None,Low,Low,Medium,Low,None,None,None
Oranges,New South Wales,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium
Oranges,Victoria,Medium,High,High,Medium,Low,Medium,None,None,None,None,Low,Low
Oranges,Queensland,Low,Low,Low,Low,Low,Low,None,None,None,Low,Low,Low
Oranges,Western Australia,Medium,High,Medium,Low,Low,None,None,None,None,None,Low,Medium
Oranges,South Australia,Medium,Medium,High,Low,Low,None,None,None,None,None,Low,Medium
Oranges,Imported,None,None,None,None,Low,Medium,Medium,High,Medium,Low,Low,None
Custard apple,New South Wales,Medium,Low,Low,Low,None,None,None,None,None,Low,Low,Medium
Custard apple,Queensland,Medium,Medium,Low,None,None,None,Low,Low,Medium,Medium,Medium,Medium
Kiwi fruit,New South Wales,Low,None,None,None,None,None,None,None,Medium,Medium,Low,Low
Kiwi fruit,Victoria,Low,Low,None,None,None,None,None,None,None,High,High,Medium
Kiwi fruit,Queensland,Low,None,None,None,None,None,None,None,Medium,Medium,Low,Low
Kiwi fruit,South Australia,Low,None,None,None,None,None,None,None,None,None,Low,Low
Kiwi fruit,Imported,High,Medium,Medium,High,Medium,Medium,Low,Low,Low,Low,Low,Low
Lychee,New South Wales,None,None,None,None,None,None,Low,Medium,High,None,None,None
Lychee,Queensland,None,None,None,Low,Medium,High,High,High,Low,None,None,None
Lychee,New South Wales,None,None,None,None,None,None,Low,Medium,None,None,None,None
Lychee,Victoria,None,None,None,None,None,None,None,Low,Medium,None,None,None
Lychee,Queensland,None,None,None,None,High,High,High,Medium,Low,None,None,None
Lychee,Western Australia,None,None,None,High,High,High,Low,Low,None,None,None,None
Lychee,Northern Territory,None,Low,Low,High,High,High,None,None,None,None,None,None
Lychee,Imported,Low,Low,None,None,None,None,None,None,None,Low,Low,Low
Musk melons,New South Wales,None,None,None,None,None,None,Medium,High,High,Medium,None,None
Musk melons,Victoria,None,None,None,None,None,None,Low,Medium,Low,Low,None,None
Musk melons,Queensland,None,Low,Medium,Medium,High,Medium,Low,Low,None,Low,Low,None
Musk melons,Western Australia,Medium,High,High,Low,None,None,None,None,None,None,Low,Medium
Musk melons,South Australia,None,None,None,None,None,None,Low,Low,Low,Low,None,None
Musk melons,Northern Territory,High,High,Medium,Low,Low,Low,None,None,None,Low,Low,Medium
Watermelon,New South Wales,None,None,None,None,None,None,High,High,Medium,Low,None,None
Watermelon,Victoria,None,None,None,None,Low,Low,High,Medium,Medium,Low,None,None
Watermelon,Queensland,Low,Low,Low,Low,Medium,High,High,High,Medium,Medium,Medium,Low
Watermelon,Western Australia,Low,Low,Low,Low,Low,None,None,None,None,None,Low,Low
Watermelon,South Australia,None,None,None,None,Low,Low,High,Medium,Medium,Low,None,None
Watermelon,Northern Territory,Medium,Low,Low,Low,Medium,None,None,None,None,None,Low,Medium
